"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","...17","...18","...19","...20","...21","Rank","Value","Age"
"Elvira","Kurten","Female",65,"1973-03-18","Assistant Professor","Financial Services","High Net Worth","N","No",12,"65 Ridge Oak Court",2471,"NSW","Australia",3,0.62,0.62,0.62,0.62,166,166,1.175,47
"Juliana","Mitchenson","Female",55,"1989-01-05","Environmental Tech","Manufacturing","Mass Customer","N","Yes",8,"74 Russell Terrace",4350,"QLD","Australia",4,0.95,1.1875,1.1875,1.009375,166,166,1.175,32
"Regine","Bownes","Female",99,"1952-07-01","Senior Developer","Retail","Affluent Customer","N","No",15,"255 Loeprich Lane",3752,"VIC","Australia",9,0.89,0.89,1.1125,1.1125,166,166,1.175,68
"Abner","Fraschetti","Male",33,"1986-01-23","Staff Scientist","Argiculture","Affluent Customer","N","No",13,"67 Northport Avenue",3805,"VIC","Australia",7,1.05,1.05,1.05,1.05,166,166,1.175,35
"Alvira","Coulman","Female",42,"1955-06-05","Account Representative II","n/a","Affluent Customer","N","No",14,"823 Wayridge Trail",2205,"NSW","Australia",9,0.63,0.63,0.7875,0.7875,166,166,1.175,65
"Sawyer","Sponton","Male",36,"1956-02-22","Help Desk Technician","Property","Mass Customer","N","Yes",10,"5 Golf Terrace",2126,"NSW","Australia",11,0.69,0.8625,1.078125,0.91640625,166,166,1.175,64
"Feodor","Vickers","Male",60,"1989-11-18","VP Quality Control","Financial Services","Mass Customer","N","Yes",4,"40809 Truax Way",2209,"NSW","Australia",6,0.5,0.625,0.625,0.53125,173,173,1.171875,31
"Paten","Cayet","Male",56,"1995-02-19","Assistant Manager","Manufacturing","Affluent Customer","N","Yes",16,"1398 Burning Wood Way",3850,"VIC","Australia",1,0.82,1.025,1.025,1.025,174,174,1.16875,25
"Loria","Tappington","Female",72,"1955-09-06","Research Assistant IV","Property","Mass Customer","N","No",5,"3920 Swallow Junction",3038,"VIC","Australia",8,0.81,0.81,0.81,0.6885,174,174,1.16875,65
"Tanya","Kiefer","Female",54,"1992-07-05","Speech Pathologist","Telecommunications","High Net Worth","N","No",7,"4 Warner Park",2146,"NSW","Australia",9,0.4,0.4,0.5,0.5,174,174,1.16875,28
"Devonne","Alderwick","Female",79,"1939-01-29","Research Associate","n/a","High Net Worth","N","Yes",9,"534 Lien Lane",3122,"VIC","Australia",7,1.06,1.325,1.325,1.325,177,177,1.1625,82
"Omero","McDonand","Male",51,"1952-04-01","Software Consultant","Manufacturing","Mass Customer","N","No",16,"48 Shoshone Park",2066,"NSW","Australia",9,0.91,0.91,1.1375,0.966875,177,177,1.1625,68
"Iain","Haversham","Male",92,"1950-12-26","Sales Representative","Retail","Mass Customer","N","Yes",13,"170 Briar Crest Place",2120,"NSW","Australia",10,0.86,1.075,1.34375,1.1421875,177,177,1.1625,70
"Keriann","Newham","Female",71,"1975-03-26","Assistant Manager","Financial Services","Mass Customer","N","No",5,"0193 Northland Street",4179,"QLD","Australia",9,1.07,1.07,1.3375,1.136875,177,177,1.1625,45
"Conroy","Rappaport","Male",39,"1965-01-08","Assistant Manager","Health","High Net Worth","N","No",9,"5219 Pearson Drive",2148,"NSW","Australia",9,0.77,0.77,0.9625,0.9625,181,181,1.158125,56
"Dorian","Rustman","Male",78,"1974-12-09","Junior Executive","Manufacturing","Mass Customer","N","No",18,"6156 Summit Center",4352,"QLD","Australia",7,0.91,0.91,0.91,0.7735,181,181,1.158125,46
"Quillan","Guinane","Male",36,"1946-03-24","Community Outreach Specialist","n/a","High Net Worth","N","Yes",21,"803 Badeau Point",2177,"NSW","Australia",8,1,1.25,1.25,1.25,181,181,1.158125,74
"Harlin","Mazin","Male",34,"1974-03-25","Computer Systems Analyst I","Manufacturing","Mass Customer","N","Yes",13,"735 Westridge Road",2454,"NSW","Australia",7,0.84,1.05,1.05,0.8925,181,181,1.158125,46
"Eustacia","Dornan","Female",68,"1985-09-02","Account Representative IV","Property","Mass Customer","N","No",5,"1190 Hanson Street",3806,"VIC","Australia",9,1.05,1.05,1.3125,1.115625,181,181,1.158125,35
"Maury","Galego","Male",65,"1992-07-27","Social Worker","Health","High Net Worth","N","Yes",3,"370 Division Junction",3032,"VIC","Australia",10,1.08,1.35,1.6875,1.6875,181,181,1.158125,28
"Reggie","Kernar","Female",26,"1971-11-28","Senior Editor","Financial Services","High Net Worth","N","No",17,"90 Northport Hill",2228,"NSW","Australia",10,0.74,0.74,0.925,0.925,181,181,1.158125,49
"Kinna","Kollasch","Female",7,"1986-11-09","Safety Technician I","Property","High Net Worth","N","No",9,"232 Knutson Park",4060,"QLD","Australia",10,0.49,0.49,0.6125,0.6125,188,188,1.15625,34
"Maurizio","Comi","Male",74,"1996-05-30","VP Product Management","IT","Affluent Customer","N","No",10,"25805 Eagan Place",2766,"NSW","Australia",9,0.91,0.91,1.1375,1.1375,190,190,1.15546875,24
"Elbertina","Fendley","Female",32,"1992-03-27","Physical Therapy Assistant","Property","Affluent Customer","N","No",8,"743 Debra Court",2117,"NSW","Australia",11,0.48,0.48,0.6,0.6,191,191,1.15,28
"Franklin","Wohler","Male",55,"1938-10-16","Clinical Specialist","Health","Mass Customer","N","Yes",7,"6966 Delladonna Street",2250,"NSW","Australia",8,0.67,0.8375,0.8375,0.711875,191,191,1.15,82
"Allyson","Petchell","Female",16,"1970-03-19","Human Resources Manager","Telecommunications","High Net Worth","N","No",10,"98221 Pennsylvania Place",2170,"NSW","Australia",8,0.44,0.44,0.44,0.44,191,191,1.15,50
"Ermentrude","Heindle","Female",47,"1969-08-02","GIS Technical Architect","Argiculture","Mass Customer","N","No",7,"307 Knutson Center",2226,"NSW","Australia",10,0.61,0.61,0.7625,0.648125,191,191,1.15,51
"Alanna","Lerway","Female",26,"1944-01-05","Dental Hygienist","Health","Mass Customer","N","Yes",11,"593 Alpine Drive",3195,"VIC","Australia",12,0.53,0.6625,0.828125,0.70390625,195,195,1.1475,77
"Vincent","Jopke","Male",6,"1972-03-10","Analog Circuit Design manager","Property","Affluent Customer","N","No",16,"45788 Stang Plaza",3687,"VIC","Australia",3,0.66,0.66,0.66,0.66,195,195,1.1475,48
"Mandie","Jeffryes","Female",60,"1981-02-16","Business Systems Development Analyst","n/a","High Net Worth","N","No",7,"96515 Di Loreto Pass",4109,"QLD","Australia",9,0.61,0.61,0.7625,0.7625,195,195,1.1475,39
"Collete","Dory","Female",66,"1990-01-09","Information Systems Manager","n/a","High Net Worth","N","No",2,"8625 Dakota Plaza",2210,"NSW","Australia",9,1.1,1.1,1.375,1.375,195,195,1.1475,31
"Leonid","Dorricott","Male",44,"1993-11-18","Environmental Tech","n/a","Affluent Customer","N","No",3,"02 Hoffman Road",2448,"NSW","Australia",3,0.94,0.94,0.94,0.94,195,195,1.1475,27
"Charlena","Berney","Female",55,"1966-01-02","Geological Engineer","Manufacturing","High Net Worth","N","Yes",12,"496 Logan Center",4207,"QLD","Australia",4,0.86,1.075,1.075,1.075,195,195,1.1475,55
"Rosemonde","Cartwight","Female",44,"1952-10-20","Analyst Programmer","Retail","Mass Customer","N","Yes",7,"518 Paget Hill",4605,"QLD","Australia",1,1.05,1.3125,1.3125,1.115625,202,202,1.140625,68
"Alano","Satchel","Male",2,"1998-11-26","Recruiting Manager","n/a","Mass Customer","N","No",2,"87107 Shelley Crossing",2429,"NSW","Australia",7,0.55,0.55,0.55,0.4675,202,202,1.140625,22
"Corrine","Baribal","Female",19,"1948-10-12","Senior Sales Associate","n/a","Affluent Customer","N","Yes",12,"3 Mallory Circle",2170,"NSW","Australia",8,0.62,0.775,0.775,0.775,206,206,1.1375,72
"Benoit","Harniman","Male",31,"1976-08-27","Research Assistant II","Telecommunications","Affluent Customer","N","No",9,"1582 Bashford Drive",4018,"QLD","Australia",7,0.99,0.99,0.99,0.99,206,206,1.1375,44
"Jenelle","Fearnill","Female",12,"1958-01-03","Social Worker","Health","High Net Worth","N","No",19,"06 Old Gate Park",2144,"NSW","Australia",9,0.77,0.77,0.9625,0.9625,206,206,1.1375,63
"Tannie","Gambrell","Male",92,"1967-05-25","Financial Analyst","Financial Services","Affluent Customer","N","No",4,"49 Surrey Point",4710,"QLD","Australia",4,0.88,0.88,1.1,1.1,206,206,1.1375,53
"Mick","Macewan","Male",32,"1967-12-12","Senior Cost Accountant","Financial Services","Mass Customer","N","No",16,"59254 Northland Alley",2032,"NSW","Australia",10,0.54,0.54,0.675,0.57375,206,206,1.1375,53
"Tabbie","Curner","Male",12,"1997-03-13","Chief Design Engineer","Retail","Mass Customer","N","No",6,"89 Parkside Street",3021,"VIC","Australia",6,0.45,0.45,0.45,0.3825,212,212,1.136875,23
"Shane","Killen","Male",28,"1956-10-16","Account Executive","Entertainment","High Net Worth","N","No",10,"7 Hazelcrest Place",2165,"NSW","Australia",8,0.86,0.86,0.86,0.86,212,212,1.136875,64
"Roberta","Goodale","Female",9,"1947-02-28","Information Systems Manager","Property","Mass Customer","N","Yes",22,"013 David Junction",4211,"QLD","Australia",7,0.97,1.2125,1.2125,1.030625,215,215,1.12890625,73
"Kippy","Barabisch","Male",11,"2000-04-07","Legal Assistant","Manufacturing","Mass Customer","N","No",4,"840 Graceland Street",2125,"NSW","Australia",11,0.49,0.49,0.6125,0.520625,215,215,1.12890625,20
"Rosalinde","Cubuzzi","Female",50,"1997-09-04","Business Systems Development Analyst","n/a","Mass Customer","N","No",5,"6 Lotheville Trail",2444,"NSW","Australia",7,0.83,0.83,0.83,0.7055,215,215,1.12890625,23
"Cami","Barnbrook","Female",8,"1963-01-01","Occupational Therapist","Health","Affluent Customer","N","Yes",18,"890 Truax Lane",4285,"QLD","Australia",2,1,1.25,1.25,1.25,218,218,1.12625,58
"Dorian","Stollen","Male",78,"1980-02-16","Statistician I","Financial Services","Mass Customer","N","Yes",18,"72922 Cambridge Terrace",2026,"NSW","Australia",11,0.53,0.6625,0.828125,0.70390625,219,219,1.125,40
"Giorgi","O'Shirine","Male",68,"1981-06-20","Payment Adjustment Coordinator","Retail","Mass Customer","N","Yes",15,"6 Novick Alley",3934,"VIC","Australia",8,0.81,1.0125,1.0125,0.860625,219,219,1.125,39
"Tobiah","Heinsius","Male",66,"2000-01-25","Chief Design Engineer","Health","High Net Worth","N","No",9,"3630 Dawn Crossing",2446,"NSW","Australia",8,0.41,0.41,0.41,0.41,223,223,1.115625,21
"Hersh","Stubbert","Male",0,"2000-06-25","Technical Writer","Manufacturing","Mass Customer","N","Yes",15,"68 Fairfield Street",4115,"QLD","Australia",8,0.65,0.8125,0.8125,0.690625,226,226,1.1125,20
"Wyn","Saynor","Male",54,"1964-06-22","Cost Accountant","Financial Services","High Net Worth","N","No",8,"5 Briar Crest Road",2099,"NSW","Australia",9,1.09,1.09,1.3625,1.3625,226,226,1.1125,56
"Maribeth","Stivani","Female",46,"1954-11-13","Associate Professor","Financial Services","Mass Customer","N","No",7,"945 Bobwhite Court",2430,"NSW","Australia",8,0.98,0.98,0.98,0.833,226,226,1.1125,66
"Abigale","Sives","Female",48,"1963-12-13","VP Marketing","Health","Affluent Customer","N","Yes",14,"2 Glendale Center",4207,"QLD","Australia",4,0.71,0.8875,0.8875,0.8875,230,230,1.109375,57
"Gothart","Artus","Male",52,"1978-05-31","Health Coach IV","Health","Mass Customer","N","Yes",14,"21824 Northridge Alley",2117,"NSW","Australia",10,0.56,0.7,0.875,0.74375,231,231,1.105,42
"Danny","Bodle","Male",50,"1943-09-24","Statistician I","Manufacturing","Mass Customer","N","Yes",18,"68 Anthes Park",2007,"NSW","Australia",9,0.99,1.2375,1.546875,1.31484375,231,231,1.105,77
"Vittorio","Boxen","Male",94,"1965-08-15","Mechanical Systems Engineer","n/a","Mass Customer","N","No",14,"3 Anthes Court",2148,"NSW","Australia",9,0.94,0.94,1.175,0.99875,233,233,1.1,55
"Deborah","Petrovsky","Female",53,"1943-07-14","Teacher","Property","Mass Customer","N","No",16,"036 Redwing Street",2011,"NSW","Australia",7,0.94,0.94,0.94,0.799,233,233,1.1,77
"Agace","Hedge","Female",25,"1997-07-23","Media Manager II","n/a","Mass Customer","N","Yes",13,"92 Petterle Place",3429,"VIC","Australia",8,0.81,1.0125,1.0125,0.860625,233,233,1.1,23
"Latrena","Walklate","Female",97,"1943-10-05","Mechanical Systems Engineer","Telecommunications","High Net Worth","N","Yes",13,"87 Sheridan Junction",2281,"NSW","Australia",8,0.88,1.1,1.375,1.375,237,237,1.094375,77
"Mariquilla","Springthorpe","Female",30,"1939-04-04","Director of Sales","n/a","Mass Customer","N","Yes",8,"811 Melrose Park",2224,"NSW","Australia",10,0.8,1,1.25,1.0625,237,237,1.094375,81
"Leticia","Danovich","Female",84,"1941-10-02","Design Engineer","Entertainment","Mass Customer","N","Yes",15,"2 Logan Avenue",4307,"QLD","Australia",1,0.55,0.6875,0.859375,0.73046875,237,237,1.094375,79
"Harman","Lynds","Male",4,"1961-05-27","Professor","n/a","Mass Customer","N","Yes",5,"538 Gina Way",4105,"QLD","Australia",8,0.8,1,1,0.85,240,240,1.09,59
"Farra","Matyushkin","Female",18,"1974-01-24","VP Quality Control","Manufacturing","High Net Worth","N","Yes",9,"52761 Portage Crossing",3170,"VIC","Australia",9,0.99,1.2375,1.546875,1.546875,241,241,1.0875,47
"Robenia","Monks","Female",94,"1959-05-08","Nurse Practicioner","Manufacturing","Mass Customer","N","No",5,"8 Fieldstone Street",4065,"QLD","Australia",9,0.99,0.99,1.2375,1.051875,241,241,1.0875,61
"Roman","Eastwood","Male",57,"1969-09-21","Associate Professor","Manufacturing","Affluent Customer","N","Yes",16,"8957 Anhalt Alley",3004,"VIC","Australia",4,0.41,0.5125,0.5125,0.5125,241,241,1.0875,51
"Solomon","Bruck","Male",29,"1957-11-15","Junior Executive","Health","Mass Customer","N","No",12,"5 High Crossing Junction",4556,"QLD","Australia",8,0.93,0.93,0.93,0.7905,244,244,1.08375,63
"Krystyna","Airey","Female",2,"1950-09-05","Safety Technician II","n/a","Mass Customer","N","Yes",19,"75760 Toban Junction",4006,"QLD","Australia",5,0.61,0.7625,0.7625,0.648125,244,244,1.08375,70
"Katharine","Redbourn","Female",8,"1967-09-11","Recruiter","Manufacturing","Affluent Customer","N","Yes",4,"178 Waxwing Trail",3134,"VIC","Australia",10,0.47,0.5875,0.734375,0.734375,244,244,1.08375,53
"Cammy","Stoneham","Female",74,"1963-05-02","Business Systems Development Analyst","Financial Services","High Net Worth","N","No",14,"8648 Green Alley",4680,"QLD","Australia",3,0.95,0.95,0.95,0.95,244,244,1.08375,57
"Ellsworth","Andrieux","Male",49,"1971-04-26","Senior Cost Accountant","Financial Services","Affluent Customer","N","Yes",10,"08912 Carberry Place",4036,"QLD","Australia",7,0.97,1.2125,1.2125,1.2125,248,248,1.078125,49
"Federico","Leuty","Male",59,"1978-12-11","Product Engineer","Property","High Net Worth","N","Yes",11,"720 Menomonie Crossing",2380,"NSW","Australia",4,0.88,1.1,1.1,1.1,249,249,1.07578125,42
"Ferdy","Hornung","Male",57,"1974-05-14","Analog Circuit Design manager","Entertainment","High Net Worth","N","No",18,"0686 Hallows Trail",4506,"QLD","Australia",3,0.83,0.83,0.83,0.83,250,250,1.075,46
"Sunny","Christescu","Female",90,"1975-03-12","Cost Accountant","Financial Services","Mass Customer","N","No",11,"6668 Blue Bill Park Plaza",2209,"NSW","Australia",10,1.1,1.1,1.375,1.16875,250,250,1.075,45
"Shadow","Yakutin","Male",85,"1967-02-03","Software Test Engineer IV","Health","Affluent Customer","N","Yes",6,"06 Dwight Park",4119,"QLD","Australia",2,0.83,1.0375,1.296875,1.296875,252,252,1.073125,54
"Sharai","Priddie","Female",13,"1961-01-16","Sales Representative","Retail","Mass Customer","N","No",9,"5202 Crowley Place",2145,"NSW","Australia",9,0.5,0.5,0.625,0.53125,252,252,1.073125,60
"Celeste","Fretson","Female",91,"1980-09-16","Product Engineer","IT","Mass Customer","N","No",9,"14709 Portage Avenue",2166,"NSW","Australia",9,0.6,0.6,0.75,0.6375,252,252,1.073125,40
"Lea","Ilyinski","Female",75,"1997-09-25","Structural Analysis Engineer","Financial Services","High Net Worth","N","No",12,"895 Glendale Park",2026,"NSW","Australia",12,1.01,1.01,1.2625,1.2625,252,252,1.073125,23
"Dyann","Olechnowicz","Female",17,"1939-07-17","Nuclear Power Engineer","Manufacturing","Mass Customer","N","No",16,"0474 Bowman Hill",3031,"VIC","Australia",10,0.45,0.45,0.5625,0.478125,252,252,1.073125,81
"Delly","Sunman","Female",49,"1959-04-11","Account Coordinator","Retail","Mass Customer","N","No",15,"652 Fuller Terrace",3206,"VIC","Australia",12,0.66,0.66,0.825,0.70125,252,252,1.073125,61
"Malvin","Ryhorovich","Male",37,"1962-03-03","Quality Control Specialist","n/a","Mass Customer","N","No",5,"5356 Sugar Plaza",4818,"QLD","Australia",3,1.07,1.07,1.07,0.9095,252,252,1.073125,58
"Tanya","Hamberston","Female",45,"2000-09-25","Product Engineer","n/a","Mass Customer","N","Yes",9,"7 Schiller Point",4113,"QLD","Australia",6,0.4,0.5,0.5,0.425,259,259,1.0625,20
"Kaela","Romaines","Female",41,"1971-11-27","Geological Engineer","Manufacturing","High Net Worth","N","No",19,"9193 Prairieview Drive",2155,"NSW","Australia",10,0.51,0.51,0.6375,0.6375,259,259,1.0625,49
"Evonne","Bembridge","Female",9,"1969-07-06","Recruiting Manager","Retail","Mass Customer","N","Yes",14,"13272 Basil Avenue",3103,"VIC","Australia",9,0.73,0.9125,1.140625,0.96953125,259,259,1.0625,51
"Shannen","Lewin","Female",21,"1991-06-07","Analog Circuit Design manager","Argiculture","High Net Worth","N","No",6,"29 Aberg Crossing",4210,"QLD","Australia",6,0.85,0.85,0.85,0.85,259,259,1.0625,29
"Bogey","Attew","Male",88,"1992-11-18","Software Engineer II","IT","Mass Customer","N","Yes",10,"4 Monterey Road",4165,"QLD","Australia",9,1.08,1.35,1.6875,1.434375,259,259,1.0625,28
"Zondra","Ringham","Female",36,"1948-01-13","Cost Accountant","Financial Services","Mass Customer","N","Yes",7,"416 Lighthouse Bay Lane",4510,"QLD","Australia",5,0.85,1.0625,1.0625,0.903125,259,259,1.0625,73
"Barnebas","Apfel","Male",57,"1996-02-19","Account Executive","Manufacturing","Affluent Customer","N","Yes",2,"05475 Elgar Place",4000,"QLD","Australia",6,0.77,0.9625,0.9625,0.9625,259,259,1.0625,24
"Gerri","Schimann","Female",81,"1969-11-17","Desktop Support Technician","Property","Mass Customer","N","Yes",18,"47 Kim Terrace",2566,"NSW","Australia",8,0.52,0.65,0.8125,0.690625,259,259,1.0625,51
"Antonietta","Egle","Female",82,"1973-09-25","Actuary","Financial Services","Mass Customer","N","No",7,"590 Hagan Parkway",3805,"VIC","Australia",7,0.85,0.85,1.0625,0.903125,259,259,1.0625,47
"Raff","Waycott","Male",70,"1951-12-16","Engineer IV","Manufacturing","Affluent Customer","N","Yes",14,"94694 Eagle Crest Terrace",3977,"VIC","Australia",7,0.42,0.525,0.525,0.525,259,259,1.0625,69
"Lark","Gonet","Female",89,"1972-01-17","Database Administrator II","Health","High Net Worth","N","No",8,"261 Orin Center",2763,"NSW","Australia",8,0.93,0.93,1.1625,1.1625,259,259,1.0625,49
"Cletis","Longley","Male",84,"1996-07-01","Chemical Engineer","Manufacturing","High Net Worth","N","Yes",1,"667 Waxwing Plaza",3199,"VIC","Australia",7,1,1.25,1.5625,1.5625,271,271,1.06,24
"Theresa","Cowper","Female",99,"1976-08-24","Accountant III","Manufacturing","Mass Customer","N","No",3,"88 Mifflin Pass",2529,"NSW","Australia",10,0.73,0.73,0.9125,0.775625,271,271,1.06,44
"Philbert","Raraty","Male",48,"1956-06-28","Executive Secretary","Manufacturing","Mass Customer","N","No",6,"10 Dexter Park",2177,"NSW","Australia",9,0.42,0.42,0.525,0.44625,274,274,1.051875,64
"Dahlia","Shovlar","Female",90,"1966-03-07","Environmental Specialist","n/a","Affluent Customer","N","Yes",7,"655 Glendale Trail",3976,"VIC","Australia",3,0.85,1.0625,1.328125,1.328125,274,274,1.051875,54
"Timi","Duny","Female",70,"1953-03-12","Office Assistant II","Telecommunications","High Net Worth","N","No",6,"39192 Glendale Alley",2092,"NSW","Australia",12,0.77,0.77,0.9625,0.9625,274,274,1.051875,67
"Dominick","Asher","Male",50,"1962-10-06","Research Associate","Health","Affluent Customer","N","Yes",5,"7307 Lake View Crossing",3804,"VIC","Australia",9,0.61,0.7625,0.953125,0.953125,278,278,1.05,58
"Becka","Hacon","Female",81,"1965-07-03","General Manager","Financial Services","Affluent Customer","N","No",17,"1 Namekagon Point",3791,"VIC","Australia",9,0.58,0.58,0.725,0.725,278,278,1.05,55
"Cirillo","Frossell","Male",7,"1968-10-14","Graphic Designer","n/a","Mass Customer","N","No",6,"602 Meadow Vale Lane",2111,"NSW","Australia",12,1.08,1.08,1.35,1.1475,278,278,1.05,52
"Verla","Dumingos","Female",26,"1971-09-18","Design Engineer","Telecommunications","Mass Customer","N","Yes",10,"6784 Spohn Alley",3021,"VIC","Australia",8,1.05,1.3125,1.3125,1.115625,282,282,1.04921875,49
"Dexter","Shutle","Male",81,"1959-01-05","Quality Control Specialist","n/a","Mass Customer","N","No",17,"07 Dayton Court",4005,"QLD","Australia",7,1.08,1.08,1.35,1.1475,284,284,1.046875,62
"Konstanze","Hovie","Female",88,"1967-01-09","Pharmacist","Health","Mass Customer","N","No",11,"351 Sunfield Lane",4370,"QLD","Australia",7,0.7,0.7,0.875,0.74375,285,285,1.04125,54
"Bink","Bentje","Male",3,"1957-03-23","Payment Adjustment Coordinator","Financial Services","High Net Worth","N","Yes",19,"8427 Moulton Place",2680,"NSW","Australia",3,0.45,0.5625,0.5625,0.5625,285,285,1.04125,63
"Taber","Szymon","Male",70,"1947-04-22","Senior Sales Associate","Argiculture","Affluent Customer","N","No",13,"984 Del Sol Junction",4659,"QLD","Australia",8,0.74,0.74,0.74,0.74,287,287,1.04,73
"Debbi","Dannatt","Female",2,"1958-12-28","Technical Writer","n/a","Affluent Customer","N","No",6,"3 Pepper Wood Hill",4218,"QLD","Australia",10,0.94,0.94,1.175,1.175,287,287,1.04,62
"Giana","Staresmeare","Female",96,"1976-04-20","Account Representative IV","Retail","Affluent Customer","N","Yes",9,"8737 Scoville Center",2770,"NSW","Australia",7,0.55,0.6875,0.859375,0.859375,289,289,1.0375,44
"Morton","Petkens","Male",50,"1990-11-13","Account Coordinator","Manufacturing","High Net Worth","N","Yes",10,"385 Montana Place",3012,"VIC","Australia",1,0.75,0.9375,0.9375,0.9375,289,289,1.0375,30
"Vittoria","Whitney","Female",95,"1981-06-03","Research Assistant I","n/a","High Net Worth","N","No",12,"3 Surrey Court",2019,"NSW","Australia",11,0.78,0.78,0.975,0.975,291,291,1.0359375,39
"Paquito","Atwood","Male",15,"1972-07-30","Nuclear Power Engineer","Manufacturing","Affluent Customer","N","No",9,"2 Magdeline Street",3199,"VIC","Australia",8,0.4,0.4,0.4,0.4,291,291,1.0359375,48
"Dimitri","Tribbeck","Male",89,"1958-12-07","Chief Design Engineer","n/a","Affluent Customer","N","No",20,"93235 Hoard Trail",3165,"VIC","Australia",6,1.1,1.1,1.375,1.375,291,291,1.0359375,62
"Shelli","Bartholomaus","Female",88,"1963-05-11","Associate Professor","Health","Mass Customer","N","Yes",6,"356 Carberry Avenue",3082,"VIC","Australia",7,0.53,0.6625,0.828125,0.70390625,291,291,1.0359375,57
"Kermit","Lebond","Male",36,"1980-02-01","Financial Advisor","Financial Services","Mass Customer","N","No",4,"71 Ludington Center",4208,"QLD","Australia",8,0.59,0.59,0.59,0.5015,295,295,1.03125,41
"Biddie","Gorce","Female",68,"1988-01-30","Senior Financial Analyst","Financial Services","Mass Customer","N","Yes",5,"2116 Continental Terrace",2795,"NSW","Australia",7,1.08,1.35,1.35,1.1475,295,295,1.03125,33
"Geoff","Sitford","Male",97,"1965-02-27","Account Executive","Financial Services","Mass Customer","N","Yes",4,"7 Elgar Road",2148,"NSW","Australia",8,0.8,1,1.25,1.0625,297,297,1.030625,55
"Tiphanie","Blackader","Female",59,"1947-10-08","Physical Therapy Assistant","Retail","Mass Customer","N","No",17,"71 Stone Corner Avenue",2007,"NSW","Australia",11,0.44,0.44,0.55,0.4675,297,297,1.030625,73
"Zollie","Crinidge","Male",39,"1988-01-10","Systems Administrator I","Retail","Mass Customer","N","Yes",10,"0 Esker Avenue",4019,"QLD","Australia",5,0.63,0.7875,0.7875,0.669375,297,297,1.030625,33
"Daisy","Pollen","Female",97,"1993-08-09","Cost Accountant","Financial Services","Mass Customer","N","No",7,"61825 Debs Terrace",3167,"VIC","Australia",9,0.86,0.86,1.075,0.91375,302,302,1.03,27
"Emelen","Bidnall","Male",79,"1981-08-05","Systems Administrator IV","Health","Affluent Customer","N","Yes",11,"11 Oak Terrace",2026,"NSW","Australia",12,0.72,0.9,1.125,1.125,302,302,1.03,39
"Linette","Boman","Female",56,"1949-05-20","Account Executive","n/a","Affluent Customer","N","No",11,"7 Michigan Hill",2076,"NSW","Australia",11,0.55,0.55,0.6875,0.6875,304,304,1.025,71
"Manya","Abramovici","Female",42,"1955-07-17","Quality Engineer","Financial Services","High Net Worth","N","Yes",13,"8 Randy Park",4214,"QLD","Australia",8,0.84,1.05,1.05,1.05,304,304,1.025,65
"Brynna","Tivers","Female",81,"1974-08-09","Recruiting Manager","Financial Services","Mass Customer","N","No",6,"0 Mayfield Parkway",4272,"QLD","Australia",7,0.76,0.76,0.95,0.8075,304,304,1.025,46
"Art","Carolan","Male",1,"1954-11-09","Marketing Manager","n/a","Affluent Customer","N","Yes",11,"57903 Hanson Parkway",2570,"NSW","Australia",9,0.72,0.9,1.125,1.125,304,304,1.025,66
"Loleta","Aberdalgy","Female",45,"1981-02-15","Occupational Therapist","Health","Mass Customer","N","No",11,"99 Westend Court",2287,"NSW","Australia",6,0.65,0.65,0.65,0.5525,304,304,1.025,39
"Claudine","Dymick","Female",28,"1965-12-13","Design Engineer","Health","Mass Customer","N","No",5,"31675 Corry Way",3977,"VIC","Australia",5,0.65,0.65,0.65,0.5525,312,312,1.02,55
"Seamus","Cains","Male",61,"1989-12-15","Teacher","Manufacturing","High Net Worth","N","No",7,"4882 Dakota Center",2305,"NSW","Australia",8,0.92,0.92,0.92,0.92,312,312,1.02,31
"Guss","Karim","Male",95,"1968-11-24","Senior Sales Associate","Manufacturing","Mass Customer","N","No",7,"4 Warner Circle",2227,"NSW","Australia",11,0.6,0.6,0.75,0.6375,312,312,1.02,52
"Julietta","Setchfield","Female",73,"1992-01-31","Operator","n/a","High Net Worth","N","Yes",3,"4 Manufacturers Crossing",4170,"QLD","Australia",8,0.96,1.2,1.2,1.2,312,312,1.02,29
"Roch","Symson","Female",96,"1978-05-13","Office Assistant I","Manufacturing","High Net Worth","N","No",18,"016 Westport Park",3073,"VIC","Australia",9,0.79,0.79,0.9875,0.9875,312,312,1.02,42
"Audry","Fann","Female",3,"1957-10-17","Pharmacist","Health","Mass Customer","N","Yes",15,"19 Debs Parkway",3029,"VIC","Australia",6,0.43,0.5375,0.5375,0.456875,312,312,1.02,63
"Clari","Voas","Female",74,"1955-07-28","Human Resources Assistant II","Health","Affluent Customer","N","Yes",14,"4110 Mifflin Center",2127,"NSW","Australia",8,0.4,0.5,0.5,0.5,312,312,1.02,65
"Zach","Hedman","Male",87,"1981-09-11","Analyst Programmer","Financial Services","Affluent Customer","N","Yes",4,"62 Spaight Center",2566,"NSW","Australia",9,0.76,0.95,1.1875,1.1875,320,320,1.015625,39
"Parnell","Lamprey","Male",23,"1977-04-08","Engineer III","Financial Services","High Net Worth","N","No",12,"7353 Mallard Junction",2165,"NSW","Australia",6,1.09,1.09,1.09,1.09,322,322,1.0125,43
